Year,month,ANIMAL_ID,V1
2012,6,mr2009a02,18160.7838780545
2012,7,mr2009a02,22849.861182356
2012,5,mr2009a03,12397.0438972516
2012,6,mr2009a03,23432.9956637646
2012,7,mr2009a03,34137.2059250369
2012,7,mr2009a06,42091.6627453351
2012,5,mr2009a06,9651.02140980921
2012,6,mr2009a06,20442.4576567389
2012,5,mr2009a07,40918.6533403184
2012,6,mr2009a07,38715.2040825469
2012,5,mr2009a08,9489.2512555685
2012,6,mr2009a08,18488.7705726158
2012,7,mr2009a08,22543.3784510753
2012,5,mr2009a09,9777.6414979034
2012,6,mr2009a09,17647.0561410941
2012,7,mr2009a09,22391.8860274146
2012,7,mr2009a10,22264.4112889416
2012,6,mr2009a10,17271.1293466435
2012,5,mr2009a10,9646.95782892275
2012,5,mr2009a11,11451.2655281532
2012,6,mr2009a11,13709.6101759868
2012,5,mr2009a18,10234.7957921469
2012,6,mr2009a18,23114.1839276316
2012,7,mr2009a18,45470.1971399756
2012,5,mr2009a21,9865.43063667276
2012,6,mr2009a21,22869.6357831015
2012,7,mr2009a21,31492.6126535341
2012,7,mr2009a25,23002.8872278897
2012,5,mr2009a25,9793.87577617202
2012,6,mr2009a25,17221.4266264518
2012,7,mr2009a26,37231.0761563698
2012,6,mr2009a26,32094.4620763508
2012,5,mr2009a26,11953.386658863
2012,5,mr2009a28,17665.3244859899
2012,7,mr2009a28,49824.0519159387
2012,6,mr2009a28,55410.2465030868
2012,6,mr2009a30,17517.7798046147
2012,5,mr2009a30,9867.48271664421
2012,7,mr2009a30,22803.2132296544
2012,6,mr2009a31,24916.661157805
2012,5,mr2009a31,17020.9417754913
2012,7,mr2009a31,42261.6491110647
2012,5,mr2010a01,11369.8632829595
2012,6,mr2010a01,17213.1631661264
2012,7,mr2010a01,22593.5796352975
2012,7,mr2011a01,36491.6038144604
2012,6,mr2011a01,34151.2376028676
2012,5,mr2011a01,9867.17211736804
2012,5,mr2011a02,11872.3972363552
2012,6,mr2011a02,37659.8142629641
2012,7,mr2011a02,26477.9036170851
2012,5,mr2011a04,34358.2820517062
2012,6,mr2011a04,37693.9321517526
2012,7,mr2011a04,33219.2470842809
2012,7,mr2011a05,33514.330466593
2012,6,mr2011a05,21777.8374095485
2012,5,mr2011a05,10281.4052278944
2013,6,mr2009a03,31486.7966471302
